Depmap ID,Expression Public 23Q2,Cell Line Name,Primary Disease,Lineage,Lineage Subtype
ACH-000507,1.0908534304511135,KE39,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000508,0.4750848829487828,CORL88,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000509,0.8399595874895318,HUT78,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000510,1.5260688116675876,NCIH1299,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000511,4.544732655932624,CALU1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000512,1.8237493603082728,INA6,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000513,3.800123352826528,SNU1272,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000514,1.1176950426697545,NCIH1092,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000515,0.3103401206121505,HCC33,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000516,1.232660756790275,CAL78,Chondrosarcoma,Bone,Chondrosarcoma
ACH-000517,2.286881147788161,SNU410,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000518,2.790772037862,CAL33,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000519,0.7048719644563528,PEER,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000520,1.3276873641760472,59M,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000521,1.9068905956085185,NCIH2030,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000522,2.438292851579147,UMUC3,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000523,0.5360529002402097,NCIH1184,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000524,0.4005379295837288,KURAMOCHI,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000525,0.2016338611696504,NCIH2171,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000526,1.372952097911829,HS821T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000527,0.6415460290875237,OVISE,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000528,0.9107326619029126,ABC1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000529,1.5058909297299572,T173,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000530,0.0565835283663675,DMS114,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000531,2.799087306074004,RS5,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000532,0.3895668117627256,SNU61,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000533,0.5160151470036647,NCIH2004RT,Rhabdoid Cancer,Kidney,Rhabdoid Cancer
ACH-000534,0.0976107966264223,WSUDLCL2,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000535,2.263034405833794,BXPC3,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000536,2.729008870337863,BT20,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000537,1.1043366598147355,SNU761,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000538,0.01435529297707,HUTU80,Small Bowel Cancer,Bowel,Small Bowel Cancer
ACH-000539,3.241840183564671,HS618T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000540,1.7782085763980875,HS606T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000541,1.1763227726404628,KMS34,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000542,3.418189947945766,HEYA8,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000543,2.292781749227846,SNU489,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000544,1.1375035237499351,OE21,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000545,3.989139007368233,VMCUB1,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000546,3.3291235962915664,HSC4,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000547,4.639810977716776,HT1197,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000548,4.531069492725954,BHY,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000549,2.797012977836145,SNU1076,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000550,1.0426443374084935,IGR39,Melanoma,Skin,Melanoma
ACH-000551,0.1243281350022017,K562,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000552,0.2630344058337938,HT29,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000553,4.237257770900372,SQ1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000554,1.263034405833794,UACC893,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000555,1.0565835283663676,A498,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000556,0.765534746362977,SIHA,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma
ACH-000557,0.4222330006830478,AML193,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000558,2.2203299548795554,A172,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000559,1.0565835283663676,NCIH1836,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000560,1.3161457422933562,ECC10,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000561,0.1110313123887439,TDOTT,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000562,5.750338520244706,HCC78,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000563,3.71699089440494,EBC1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000564,0.2141248053528473,KHM1B,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000565,1.0356239097307212,RCM1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000566,1.944858445807539,SW1710,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000567,0.5260688116675876,ST486,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000568,0.7484612330040357,UACC812,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000569,1.6461626571578936,ISTMES1,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000570,1.782408564927373,YKG1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000571,0.6599245584023783,T98G,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000572,1.0908534304511135,G361,Melanoma,Skin,Melanoma
ACH-000573,1.560714954474479,MDAMB436,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000574,0.3219280948873623,FUOV1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000575,4.437627248318949,HCC364,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000576,0.5655971758542251,KMS27,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000577,2.1243281350022016,JHH2,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000578,5.531069492725954,HCC1171,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000579,0.6959938131099002,UACC257,Melanoma,Skin,Melanoma
ACH-000580,0.4750848829487828,C32,Melanoma,Skin,Melanoma
ACH-000581,0.6870606883398922,SNU16,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000582,0.6599245584023783,COLO741,Melanoma,Skin,Melanoma
ACH-000583,2.2172307162206693,MC116,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000584,0.2016338611696504,JHOS4,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000585,4.2630344058337934,EPLC272H,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000586,0.933572638261024,NCIH1876,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000587,3.344828496997441,NCIH1975,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000588,0.2387868595871164,KMS26,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000589,1.263034405833794,NCIH1437,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000590,1.3895668117627256,NCIH2073,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000591,2.411426245726465,LN235,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000592,3.849999259466098,TM31,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000593,1.9855004303048849,BC3C,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000594,2.0942360698457656,DMS153,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000595,2.1538053360790355,LN229,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000596,4.479618608469416,LCLC97TM1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000597,0.0840642647884745,TTC709,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000598,0.1634987322828795,KMS21BM,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000599,2.606442228131608,PATU8902,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000600,2.682573297347578,SLR26,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000601,0.9411063109464316,MIAPACA2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000602,0.5558161550616396,M07E,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000603,0.8237493603082727,BEN,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000604,0.3448284969974411,KYO1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000605,2.411426245726465,TE6,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000606,2.090853430451113,PECAPJ34CLONEC12,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000607,1.0772429989324606,KYM1,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000608,3.624100894628114,COV644,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000609,2.3757345385831563,SF126,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000610,0.2265085298086797,NCIH2227,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000611,1.4276061727818994,SUDHL6,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000612,4.0522419811811385,HUT102,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000613,3.2063306478710496,HOS,Osteosarcoma,Bone,Osteosarcoma
ACH-000614,2.27500704749987,RVH421,Melanoma,Skin,Melanoma
ACH-000615,1.8237493603082728,SKMEL28,Melanoma,Skin,Melanoma
ACH-000616,6.099715999160909,HS746T,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000617,1.480265122054463,OVCAR4,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000618,1.454175893185802,SNU1041,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000619,1.9373443921502325,PECAPJ15,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000620,0.7484612330040357,JHH1,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000621,0.5260688116675876,MDAMB157,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000622,0.4956951626240688,KNS42,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000623,2.19534759832222,SNU201,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000624,0.8639384504239714,HCC1806,Breast Ductal Carcinoma In Situ,Breast,Breast Ductal Carcinoma In Situ
ACH-000625,0.2868811477881615,HEP3B217,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000626,1.2570106182060237,U266B1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000627,5.870118083965933,LCLC103H,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000628,2.786596361890807,NCIH596,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000629,6.000901402741532,IOMMLEE,Meningothelial Tumor,CNS/Brain,Meningothelial Tumor
ACH-000630,2.032100843167024,YD8,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000631,4.185866545311334,KS1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000632,2.5921580021253603,HS944T,Melanoma,Skin,Melanoma
ACH-000633,0.7907720378619999,FU97,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000634,0.9781956296816516,LN340,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000635,1.0565835283663676,SNU119,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000636,0.7048719644563528,RPMI8402,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000637,0.4956951626240688,KYSE520,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000638,4.944858445807539,NCIH441,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000639,0.3103401206121505,NCIH211,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000640,0.879705766282288,SKMEL31,Melanoma,Skin,Melanoma
ACH-000641,0.4222330006830478,CMK,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000642,2.735522177296537,HMEL,Non-Cancerous,Breast,Non-Cancerous
ACH-000643,2.073820233291672,HDQP1,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000644,0.4222330006830478,COLO829,Melanoma,Skin,Melanoma
ACH-000645,1.1634987322828796,JL1,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000646,0.0840642647884745,OVMANA,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000647,3.614709844115208,TE1,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000648,0.2016338611696504,NCIH28,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000649,3.500802053057157,786O,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000650,0.8237493603082727,IGR37,Melanoma,Skin,Melanoma
ACH-000651,0.6507645591169022,SW620,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000652,0.3103401206121505,SUIT2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000653,0.2868811477881615,JJN3,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000654,0.7484612330040357,RAJI,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000655,2.344828496997441,SF268,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000656,0.5459683691052926,SUDHL8,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000657,0.4436066514756146,A2780,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000659,0.1763227726404629,SCLC21H,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000660,0.879705766282288,SUDHL5,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000661,0.8155754288625725,WM1799,Melanoma,Skin,Melanoma
ACH-000662,5.07724299893246,CORL23,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000663,0.1890338243900171,OVTOKO,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000664,6.436461703182413,SUDHL1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000665,3.743084055549586,SKMES1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000666,0.918386234446348,NCIH1355,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000667,5.826548487290915,HCC44,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000668,3.496973580998276,HCC70,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000669,4.888499735514123,SW900,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000670,0.1634987322828795,SBC5,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000671,0.0976107966264223,HUH6,Hepatoblastoma,Liver,Hepatoblastoma
ACH-000672,3.596935142387232,IALM,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000673,2.2387868595871168,LN443,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000674,0.4005379295837288,NUGC4,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000675,3.922197848396367,NCIH1734,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000676,0.8237493603082727,LN464,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000677,1.8155754288625725,SW1573,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000678,4.87921563716567,MKN7,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000679,0.0426443374084937,OE19,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000680,0.0840642647884745,SW948,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000681,1.7865963618908067,A549,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000682,2.5897634869849773,SNU1066,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000683,3.662205499653616,SNU503,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000684,3.4342946179599254,KMRC1,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000685,1.4905701304462011,L33,Adenosquamous Carcinoma of the Pancreas,Pancreas,Adenosquamous Carcinoma of the Pancreas
ACH-000686,1.7180875839605168,SNU878,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000687,2.316145742293356,CI1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000688,0.8237493603082727,OV7,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000689,3.802193216941825,RH18,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000690,0.963474123974886,HCC2814,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000691,0.2387868595871164,HCC2157,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000692,2.974529312483882,SNU899,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000693,1.250961573533219,KYSE180,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000694,0.8639384504239714,TE9,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000695,0.903038270112912,CORL47,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000696,1.4005379295837286,OVCAR8,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000697,0.3334237337251918,A3KAW,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000698,2.3673710656485296,DMS53,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000699,0.6690267655096305,HCC1395,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000700,3.670160514126634,NCIH2882,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000701,0.5655971758542251,RMUGS,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000702,5.779522386743769,L1236,Hodgkin Lymphoma,Lymphoid,Hodgkin Lymphoma
ACH-000703,1.6959938131099002,DMS79,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000704,0.0426443374084937,OAW42,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000705,1.3673710656485294,LC1F,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000706,0.6690267655096305,EKVX,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000707,0.4854268271702416,P3HR1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000708,1.063502942306158,SNU283,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000709,2.780310099043376,KMRC2,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000710,0.3561438102252753,NCIH854,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000711,4.563768278452033,JIMT1,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000712,1.4222330006830477,HCC1833,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000713,3.1538053360790355,CAOV3,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000714,0.2141248053528473,KMS11,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000715,1.144046369616707,SNU1214,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000716,1.063502942306158,TT2609C02,Well-Differentiated Thyroid Cancer,Thyroid,Well-Differentiated Thyroid Cancer
ACH-000717,2.994579724215748,COLO680N,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000718,4.981396031972149,NCIH2291,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000719,0.1505596765753814,RMGI,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000720,3.910732661902913,TCCSUP,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000721,0.6040713236688608,HMC18,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000722,0.4329594072761063,SNUC1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000723,3.003602236680196,YD10B,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000724,4.7527485914071335,HT1376,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000725,0.5160151470036647,HCC202,Breast Ductal Carcinoma In Situ,Breast,Breast Ductal Carcinoma In Situ
ACH-000726,0.4956951626240688,TE14,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000728,0.9708536543404837,KASUMI2,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000729,0.5058909297299572,NCIH1963,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000730,0.879705766282288,SKMEL5,Melanoma,Skin,Melanoma
ACH-000731,1.1375035237499351,HCC2279,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000732,1.510961919277379,PECAPJ41CLONED2,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000733,3.422233000683048,NCIH1838,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000734,0.5459683691052926,JHH5,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000735,3.5360529002402097,PECAPJ49,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000736,1.01435529297707,SNU601,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000737,1.0772429989324606,NCIH1385,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000738,4.305240965954483,GB1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000739,0.0285691521967709,HEPG2,Hepatoblastoma,Liver,Hepatoblastoma
ACH-000740,0.765534746362977,A253,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000741,5.664767255356415,UBLC1,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000742,3.095924419998536,DM3,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000743,1.1699250014423124,CORL95,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000744,1.01435529297707,NCIH1623,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000745,0.933572638261024,MOLP8,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000746,0.6599245584023783,GSS,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000747,0.4329594072761063,NCIH1703,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000748,2.788685710613534,SJSA1,Osteosarcoma,Bone,Osteosarcoma
ACH-000749,0.2750070474998698,DMS273,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000750,4.667892125230234,LOXIMVI,Melanoma,Skin,Melanoma
ACH-000751,3.8923910259134034,OCIM1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000752,0.3448284969974411,NCIH196,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
